description,prerequisites,number,credits,department,name
,,1210,(2),ESLG,) Academic Writing for Foreign Students
,,1222,(2),ESLG,) Advanced Written Composition for Foreign Students
,,1410,(3),ESLG,) Academic English Skills for International Students
,,4795,(3),ENVS,) Field Methods in Zoology and Botany
"Examines a specific environmental topic in depth, synthesizing information from complex and controversial issues. Different course sections present different topics. Fulfills capstone requirement for Environmental Studies major.Recommended prereq., ENVS 1000. Requisites: Restricted to students with 57-180 credits (Junior or Senior) Environmental Studies (ENVS) or Geography (GEOG) majors only.",Requisites: Restricted to students with 57-180 credits (Junior or Senior) Environmental Studies (ENVS) or Geography (GEOG) majors only.,4800,(3),ENVS,) Capstone:  Critical Thinking in Environmental Studies
,,4840,(1-6),ENVS,) Independent Study
Studio in landscape design. Requisites: Requires prerequisite course of ENVD 3300 (minimum grade C-). Restricted to Program in Environmental Design major or minor students only.,Requisites: Requires prerequisite course of ENVD 3300 (minimum grade C-). Restricted to Program in Environmental Design major or minor students only.,4340,(4-6),ENVD,) Landscape Design Studio
"Topics include animation and environmental simulation, computational methods of technical evaluation and optimization, and computational mapping and analysis. May be repeated for credit by petition. Requisites: Restricted to Program in Environmental Design major or minor students only.",Requisites: Restricted to Program in Environmental Design major or minor students only.,4352,(1-6),ENVD,) Special Topics: Computer Methods
A design studio exploring emerging issues and practices in historic preservation. Requisites: Requires prerequisite course of ENVD 3300 (minimum grade C-). Restricted to Program in Environmental Design major or minor students only.,Requisites: Requires prerequisite course of ENVD 3300 (minimum grade C-). Restricted to Program in Environmental Design major or minor students only.,4360,(4-6),ENVD,) Historic Preservation Studio
"By special arrangement with instructor and outside sponsor. Pass/Fail only. Department enforced, 3.00 GPA required. Requisites: Requires prerequisite course of ENVD 3100 (minimum grade C-).",Requisites: Requires prerequisite course of ENVD 3100 (minimum grade C-).,4939,(1-6),ENVD,) Internship
"To prepare students for undertaking an independent research or design project in Environmental Design, this asks students to engage with existing literature in the field.  Students will understand how research and design projects are conducted, and how their own work fits within a long tradition of scholarship.  Department consent required. Requisites: Restricted to students with 57-180 credits (Juniors or Seniors).",Requisites: Restricted to students with 57-180 credits (Juniors or Seniors).,4972,(3),ENVD,) Honors Research Methods and Thesis Preparation
"By special arrangement with instructor. Pass/Fail only. Department enforced, 3.00 GPA required. Requisites: Restricted to students with 57-180 credits (Juniors or Seniors).",Requisites: Restricted to students with 57-180 credits (Juniors or Seniors).,3919,(1-6),ENVD,) Teaching Assistant
"Designed to explore the student transition to university life and engage students in active leadership and mentoring capacity-building activities.  Examines the role peers play in leading students through transitional development.  Students will learn the theoretical basis for understanding student transition and develop their mentoring capacities as well as examine personal identity and values and its intersection with leadership and mentorship. Requisites: Restricted to students with 27-180 credits (Sophomore, Junior, or Senior) Program in Environmental Design majors only.","Requisites: Restricted to students with 27-180 credits (Sophomore, Junior, or Senior) Program in Environmental Design majors only.",3929,(1),ENVD,) Peer Leadership and Mentorship and Transitioning Students
"Teaches students how to research the various codes and to draft and pass laws. Covers environmental, water quality, property, zoning, and building codes and laws. Requisites: Requires prerequisite course of ENVD 2130 (minimum grade C-). Restricted to Program in Environmental Design major or minor students only.",Requisites: Requires prerequisite course of ENVD 2130 (minimum grade C-). Restricted to Program in Environmental Design major or minor students only.,4005,(3),ENVD,) Design and Planning Law
"Provides a seminar or design lab on special issues in environmental design, including study abroad.  May be repeated up to 18 total credit hours.  Variable topic class.  Recommended prereq., ENVD 2120. Requisites: Restricted to Environmental Design (ENVD) major or minor students only.",Requisites: Restricted to Environmental Design (ENVD) major or minor students only.,4009,(1-6),ENVD,) Special Topics in Environmental Design
Introduces methods for identifying historic structures and evaluating their materials. Considers techniques for preserving and restoring and legal options for promoting preservation efforts. Requisites: Requires prerequisite course of ENVD 2130 (minimum grade C-). Restricted to Program in Environmental Design major or minor students only.,Requisites: Requires prerequisite course of ENVD 2130 (minimum grade C-). Restricted to Program in Environmental Design major or minor students only.,3015,(3),ENVD,) Introduction to Historic Preservation
"Introduces students to the technical and practical aspects of making photographic images: the workings of the camera and lens, principles of depth of field, black and white film processing, printing, and basic darkroom procedures. Open to nonmajors on a space available basis. Requisites: Restricted to Program in Environmental Design major or minor students only.",Requisites: Restricted to Program in Environmental Design major or minor students only.,3022,(3),ENVD,) Technical Photography
,,3052,(3),ENVD,) Introduction to Computer Methods in Environmental Design
"Offers training in critical thinking and analytical writing skills appropriate to upper-division classes. Writing assignments integrate the subject matter of different topical areas.  Fulfills writing requirement for Environmental Studies major. Recommended prereq., ENVS 1000. Approved for arts and sciences core curriculum: written communication. Requisites: Restricted to students with 57-180 credits (Junior or Senior) Environmental Studies (ENVS) majors only.",Requisites: Restricted to students with 57-180 credits (Junior or Senior) Environmental Studies (ENVS) majors only.,3020,(3),ENVS,) Advanced Writing in Environmental Studies
,,3030,(3-4),ENVS,) Topics in Environmental Social Sciences
,,1022,(3),ETHN,) Introduction to Africana Studies
,,1023,(3),ETHN,) Introduction to Native American and Indigenous Studies
,,4900,(1-3),ESBM,) Projects in Entrepreneurial Companies
Supervised project involving original research. Thesis proposal must be accepted by honors chairman.  Open only to Environmental Studies majors with at least a 3.30 GPA.  May be repeated up to 6 total credit hours.  Fulfills capstone requirement in Environmental Studies major. Requisites: Requires prerequisite course of ENVS 1000 (minimum grade D-).  Restricted to students with 57-180 credits (Junior or Senior) Environmental Studies (ENVS) majors only.,Requisites: Requires prerequisite course of ENVS 1000 (minimum grade D-).  Restricted to students with 57-180 credits (Junior or Senior) Environmental Studies (ENVS) majors only.,4990,(3),ENVS,) Senior Thesis
Introduction to methodologies of the policy sciences with emphasis on applications to environmental issues; role of science in decision making; professional roles and responsibilities as a policy analyst.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Requisites: Restricted to Environmental Studies (ENVS) graduate students only.,Requisites: Restricted to Environmental Studies (ENVS) graduate students only.,5000,(3),ENVS,") Policy, Science, and the Environment"
"Addresses variable topics in the relationship of human experience and behavior to the built environment, e.g., social research methods in environmental design. Requisites: Restricted to Program in Environmental Design major or minor students only.",Requisites: Restricted to Program in Environmental Design major or minor students only.,4361,(1-6),ENVD,) Special Topics: Social Factors in Design
"Includes such topics as appropriate technology, public policy and natural hazards, organization of the designing and building process, and physical elements of urban development. Requisites: Restricted to Program in Environmental Design major or minor students only.",Requisites: Restricted to Program in Environmental Design major or minor students only.,4363,(1-6),ENVD,) Special Topics: Physical Factors in Environmental Design
"Provides an advanced seminar on history and historiography of environmental design, e.g., American dwellings. May be repeated for credit by petition. Requisites: Restricted to Program in Environmental Design major or minor students only.",Requisites: Restricted to Program in Environmental Design major or minor students only.,4364,(1-6),ENVD,) Special Topics: History and Historiography of Environmental Design
Provides an advanced seminar on new technologies and issues of professional practice in the environmental design professions. Requisites: Restricted to Program in Environmental Design major or minor students only.,Requisites: Restricted to Program in Environmental Design major or minor students only.,4365,(1-6),ENVD,) Special Topics: Technology and Practice
"Working with an advisor, students prepare, complete, and defend an honors thesis project, either written or creative. Requisites: Restricted to students with 57-86 credits (Junior).",Requisites: Restricted to students with 57-86 credits (Junior).,4979,(3),ENVD,) Honors Thesis
,,5346,(1-6),ENVD,) Spec Topics: Environmental Design
,,7909,(1-6),ENVD,) Independent Study
,,4012,(3),ENVD,) Imagination and Creativity
,,4023,(3),ENVD,) Environmental Impact Assessment
"Critically reviews and analyzes land use policies, the ethics and economics of air and water pollution, regional sustainability, and resource management. Includes critical evaluation of empirical methodologies, and criteria of cultural and social equity. Requisites: Restricted to students with 57-180 credits (Junior or Senior) Program in Environmental Design major or minor students only.",Requisites: Restricted to students with 57-180 credits (Junior or Senior) Program in Environmental Design major or minor students only.,4031,(3),ENVD,) Thinking Like a Mountain: A New Land Ethic
"Exposes students to a sequence of design investigations that lead to the development of design concepts for critical evaluation and discussion. The intent of this introductory design studio is to expose students to the fundamental design practices that are common to the disciplines of environmental design, planning, urban design and landscape design - that share the responsibility fro shaping the designed environment. Department enforced coreqs., ENVD 3122 and ENVD 3124. Requisites: Requires prerequisite course of ENVD 2120 (minimum grade C-). Restricted to Program in Environmental Design major or minor students only.",Requisites: Requires prerequisite course of ENVD 2120 (minimum grade C-). Restricted to Program in Environmental Design major or minor students only.,3100,(6),ENVD,) Environmental Design Studio 3
"Examines a particular topic, theme, issue, or problem concerning Chicana and Chicano studies. May be repeated up to 9 total credit hours on different topics. Same as ETHN 5686. Formerly ETHN 4686. Requisites: Requires a prerequisite course of ETHN 2001 or ETHN 2536 (minimum grade D-).  Restricted to students with 57-180 credits (Juniors or Seniors).",Requisites: Requires a prerequisite course of ETHN 2001 or ETHN 2536 (minimum grade D-).  Restricted to students with 57-180 credits (Juniors or Seniors).,4106,(3),ETHN,) Special Topics in Chicana and Chicano Studies
"This is a writing intensive workshop in contemporary poetry writing and Chicana/o and Latina/o poetics-specifically, Nuyorican and Afro-Latino (the Nuyorican Poets Cafe). The purpose of the course is dual-fold: 1) students will be encouraged and empowered to express and develop their poetic voice; 2) students will be challenged to develop and refine their poetic craft. Examines primarily Chicana and Latino specific poetic expression that reflects the cultural mestizaje of Chicano/a and Latina/o peoples. Recommended prereq., 6 credits in any ETHN class. Requisites: Requires a prerequisite course of ETHN 2001 (minimum grade D-). Restricted to students with 57-180 credits (Juniors or Seniors).",Requisites: Requires a prerequisite course of ETHN 2001 (minimum grade D-). Restricted to students with 57-180 credits (Juniors or Seniors).,4116,(3),ETHN,) Spoken Word Latino Poetics and Poetry
"Overview of race, class, gender, and ethnicity issuesin offending, victimization, and processing by the justice system. Examines women and people of color employed in the justice system. Recommended prereq., ETHN 2001. Same as SOCY/WMST 3044. Requisites: Restricted to students with 57-180 credits (Juniors or Seniors).",Requisites: Restricted to students with 57-180 credits (Juniors or Seniors).,3044,(3),ETHN,") Race, Class, Gender, and Crime"
,,3101,(3),ETHN,) Selected Topics in Ethnic Studies
,,3032,(3),ENVS,") Environment, Media and Society"
,,3040,(4),ENVS,) Conservation Biology
,,3070,(3),ENVS,) Energy and the Environment
"Examines theories of race, ethnicity, gender, sexuality, colonialism and globalization, especially from the perspectives of communities most impacted by these categories and processes. This is the introductory course for graduate work in Comparative Ethnic Studies. Requisites: Restricted to graduate students only.",Requisites: Restricted to graduate students only.,6000,(3),ETHN,) Foundations of Comparative Ethnic Studies
"Examines various humanistic and social science research methodologies and applies critical frameworks (including feminist, queer, Indigenous and decolonial theories) to research through an intersectional lens committed to analyzing race, class, gender and sexuality as interconnected, knowledge-producing systems of power. This course examines how Ethnic Studies scholars can engage with social justice projects by producing knowledge in cutting edge ways. Requisites: Requires prerequisite course of ETHN 6000 (minimum grade C). Restricted to graduate students only.",Requisites: Requires prerequisite course of ETHN 6000 (minimum grade C). Restricted to graduate students only.,6001,(3),ETHN,) Research Methods in Comparative Ethnic Studies
,,1025,(3),ETHN,) Introduction to Asian American Studies
,,1123,(3),ETHN,) Exploring a Non-Western Culture: Hopi and Navajo
,,2001,(3),ETHN,) Foundations: Race and Ethnicity in the United States
,,2004,(3),ETHN,) Themes in American Culture 1
,,2013,(3),ETHN,) Critical Issues in Native North America
,,5003,(3),ENVS,) Theory and Methods in Environmental Studies
"Examines the public policy process, including the influences and actors that shape policy outcomes. Focuses on the major theories, frameworks, and models of policy change, along with emerging scholarship that challenges, refines, and advances the theory. Requisites: Restricted to graduate students only.",Requisites: Restricted to graduate students only.,5050,(3),ENVS,) Theories of the Policy Process
"Advanced seminar focuses on theoretical concerns and practical issues inherent in environmental design and planning. Views concerns and issues in terms of setting, processes, and planning and design outcomes. Provides a critical synthesis of the inherently interdisciplinary nature of planning and design education. Requisites: Restricted to Program in Environmental Design major or minor students only.",Requisites: Restricted to Program in Environmental Design major or minor students only.,4420,(3),ENVD,) Senior Capstone Seminar
A preprofessional studio in landscape architecture. Requisites: Requires prerequisite course of ENVD 4340 (minimum grade C-).,Requisites: Requires prerequisite course of ENVD 4340 (minimum grade C-).,4440,(6),ENVD,) Landscape Design Studio 2
"Examines how Indigenous authors, artists and filmmakers have recently begun exploring the genres of Horror, Science Fiction and Fantasy. Considers this shift in light of past and present Native realities. Explores why this shift is happening now, how it helps communities and individuals make political statements, address/redress historical subjects and help to build better futures for us all. Requisites: Restricted to students with 57-180 credits (Juniors or Seniors).",Requisites: Restricted to students with 57-180 credits (Juniors or Seniors).,4213,(3),ETHN,) Indigenous Futurisms: Speculative Genres and Native Tomorrows
An intensive exploration and examination of the life and thought of the Rev. Dr. Martin Luther King Jr. Special emphasis on the stages of his life and their corresponding productions. Requisites: Requires a prerequisite course of ETHN 1022 or ETHN 2001 (minimum grade D-). Restricted to students with 57-180 credits (Juniors or Seniors).,Requisites: Requires a prerequisite course of ETHN 1022 or ETHN 2001 (minimum grade D-). Restricted to students with 57-180 credits (Juniors or Seniors).,4232,(3),ETHN,) The Life and Thought of Martin Luther King Jr
"Analyzes the life and thought of W.E.B. Du Bois for its contributions to interdisciplinary and intersectional studies. Emphasis will be placed on the innovative interdisciplinary and intersectional nature of Du Bois's epistemology and research methodology, as well as his participation in radical political and social movements. ETHN 4272 and 5272 are the same course. Requisites: Requires a prerequisite course of ETHN 1022 or ETHN 2001 (minimum grade D-). Restricted to students with 57-180 credits (Junior or Senior) Ethnic Studies (ETHN) majors only.",Requisites: Requires a prerequisite course of ETHN 1022 or ETHN 2001 (minimum grade D-). Restricted to students with 57-180 credits (Junior or Senior) Ethnic Studies (ETHN) majors only.,4272,(3),ETHN,) W.E.B. Du Bois Seminar
"Gives special attention to ways U.S. institutions (i.e., legal, economic, educational, governmental and social agencies) affect Chicanas and  Chicanos. Discusses internal colonialism, institutional racism, assimilation and acculturation, and identity. ETHN 4306 and 5306 are indentical courses. Requisites: Requires a prerequisite course of ETHN 2001 or ETHN 2536 (minimum grade D-).  Restricted to students with 57-180 credits (Juniors or Seniors).",Requisites: Requires a prerequisite course of ETHN 2001 or ETHN 2536 (minimum grade D-).  Restricted to students with 57-180 credits (Juniors or Seniors).,4306,(3),ETHN,) The Chicana and Chicano and U.S. Social Systems
,,3102,(3),ETHN,) Selected Topics in African American Studies
,,3103,(3),ETHN,) Selected Topics in American Indian Studies
,,3104,(3),ETHN,) Selected Topics in American Studies
,,3105,(3),ETHN,) Selected Topics in Asian American Studies
,,3106,(3-6),ETHN,) Selected Topics in Chicana and Chicano Studies
,,3100,(3-4),ENVS,) Topics in Applied Environmental Studies
,,3103,(3),ENVS,) Applied Environmental Studies: Mining in Four Corners
"Examines major traditions in moral philosophy to see what light they shed on value issues in environmental policy and the value presuppositions of the economic, ecological, and juridical approaches to the environment. Same as PHIL 3140. Approved for arts and sciences core curriculum: ideals and values. Requisites: Restricted to students with 27-180 credits (Sophomores, Juniors or Seniors) only.","Requisites: Restricted to students with 27-180 credits (Sophomores, Juniors or Seniors) only.",3140,(3),ENVS,) Environmental Ethics
"Examines primary texts in queer studies and queer theory while challenging colonial heteronormative and homonormative studies that exclude queers of color and their life experiences. Readings include works by Gloria Anzaldua, Jose Munoz, Audre Lorde, David Eng, Judith Butler, Judith Halberstam, and Michel Foucault. Topics such as queer borderlands, citizenship, racialized and transgender identities will be interrogated. Requisites: Restricted to graduate students only.",Requisites: Restricted to graduate students only.,6011,(3),ETHN,) Race and Sexuality Studies
"Examines crime and the criminal legal system practices through the lens of intersecting oppressions, particularly racism, sexism, heterosexism, and classism. Same as SOCY 7014. Requisites: Restricted to graduate students only.",Requisites: Restricted to graduate students only.,6014,(3),ETHN,") Gender, Race, Class, and Crime"
"Examines how the cultural and legal bounds of U.S. citizenship have been linked to race, gender, labor, class, and sexuality. Analyzes the experiences of racialized and gendered groups to explore the racial formations, exclusions and contradictions inherent with the institution of citizenship. Requisites: Restricted to graduate students only.",Requisites: Restricted to graduate students only.,6100,(3),ETHN,) Race and Citizenship in U.S. History and Culture
,,1000,(1),FARR,) Farrand Service-Learning Practicum: Special Topics
,,1003,(1),FARR,) Banned Books and the First Amendment
"Introduces first-year students to the environmental engineering program from an academic and a career perspective. Covers air quality, applied ecology, chemical processing, energy, engineering for developing communities, environmental remediation, and water resources and treatment. Includes reading and writing on the history of environmental engineering, major environmental issues, and professional ethics. Requisites: Restricted to students with 0-60 units completed.  Restricted to Engineering undergraduate students (ENGRU) or Environmental Studies majors (ENVS) or Pre-Engineering Arts & Sciences (PREN) students only.",Requisites: Restricted to students with 0-60 units completed.  Restricted to Engineering undergraduate students (ENGRU) or Environmental Studies majors (ENVS) or Pre-Engineering Arts & Sciences (PREN) students only.,1000,(1),EVEN,) Introduction to Environmental Engineering
,,2840,(1-3),EVEN,) Independent Study: General Topics
"Introduces students to hands-on environmental sampling and analysis techniques for characterization of surface water, subsurface water, soils and sediments, and air. Laboratories include stream sampling, drilling, monitoring well installation, water level, slug tests, air sampling. Students from other departments may request instructor permission to enroll. Requisites: Requires prerequisite courses of CVEN 4404 and CVEN 4424 (all minimum grade C-). Restricted to Environmental Engineering (EVEN) majors only.",Requisites: Requires prerequisite courses of CVEN 4404 and CVEN 4424 (all minimum grade C-). Restricted to Environmental Engineering (EVEN) majors only.,4100,(3),EVEN,) Environmental Sampling and Analysis
,,2014,(3),ETHN,) Themes in American Culture 2
,,2044,(3),ETHN,) Crime and Society
,,2203,(3),ETHN,) American Indians in Film
,,5100,(1-3),ENVS,) Special Topics in Environmental Studies
"Covers various topics in the social sciences and humanities in environmental studies.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Requisites: Restricted to Arts and Sciences, Journalism, Law or Business Graduate Students only.","Requisites: Restricted to Arts and Sciences, Journalism, Law or Business Graduate Students only.",5110,(1-3),ENVS,) Topics in Environmental Social Science and Humanities
"Investigates the genre of autobiography in America from its inception to the present. American autobiography has been associated with the invention of national character and, thus, is a site of cultural contestation and identity formation. Its changing form crosses disciplinary lines and provides a site for discourses on ethnicity, class, gender, sexuality, age, family, religion and other American cultural conflicts. Approved for arts and sciences core curriculum: United States context. Requisites: Requires a prerequisite course of ETHN 2001 (minimum grade D-). Restricted to students with 57-180 credits (Juniors or Seniors).",Requisites: Requires a prerequisite course of ETHN 2001 (minimum grade D-). Restricted to students with 57-180 credits (Juniors or Seniors).,4504,(3),ETHN,) Ethnic-American Autobiography
"Examines the relationship and negotiation of culture/status/place through representation(s) within and concerning Indigenous peoples/communities. Focuses on U.S. representational forms in popular experiences e.g., literature, film, media and the roots of those representations via legal and medical definitions. This investigation and analysis is supplemented with focus on gender as well as contextualization through global Indigenous portrayals. Recommended prereq., ETHN 1023. ETHN 4553 and 5553 are the same course. Requisites: Requires a prerequisite course of ETHN 2001 (minimum grade D-). Restricted to students with 57-180 credits (Juniors or Seniors).",Requisites: Requires a prerequisite course of ETHN 2001 (minimum grade D-). Restricted to students with 57-180 credits (Juniors or Seniors).,4553,(3),ETHN,) Indigenous Representations in the United States
,,3136,(3),ETHN,) Chicana Feminisms and Knowledges
,,3201,(3-4),ETHN,") Multicultural Leadership: Theories, Principles and Practices"
,,3212,(3),ETHN,) Introduction to Hip Hop Studies
"Explores the experiences, perspectives, and status of American Indian women in historical and contemporary contexts. Examines representations of Indigenous women in mainstream culture. Emphasizes the agency of American Indian women-their persistence, creativity, and activism, especially in maintaining Indigenous traditions. Recommended prereq., ETHN 1023 or ETHN 2001 or WMST 2000 or WMST 2600.  Same as WMST 3210. Approved for arts and sciences core curriculum: human diversity. Requisites: Restricted to students with 27-180 credits (Sophomores, Juniors or Seniors) only.","Requisites: Restricted to students with 27-180 credits (Sophomores, Juniors or Seniors) only.",3213,(3),ETHN,) American Indian Women
,,3173,(3),ENVS,) Creative Climate Communication
"Emphasizes the integration of physical, chemical, and biological processes in controlling terrestrial and aquatic ecosystems. Ecosystem concepts are applied to current environmental and water quality problems. Includes field trips and a group project.  Same as CVEN 3434. Requisites: Requires prerequisite courses of CHEM 1113 or CHEN 1211 and 1221 (all minimum grade D-).",Requisites: Requires prerequisite courses of CHEM 1113 or CHEN 1211 and 1221 (all minimum grade D-).,3434,(3),ENVS,) Introduction to Applied Ecology
,,3520,(3),ENVS,) Energy and Climate Change: An Interdisciplinary Approach
,,1002,(3),FILM,) Film Analysis for Non-Majors
,,1502,(3),FILM,) Introduction to Film Studies
"Focuses on a variety of advanced interdisciplinary studies. Themes include: Race and Sports, Critical Whiteness Studies, Race and Masculinity, Applied Community Engagement, Black Women in the Diaspora, US/Mexico Border Cultures, Criminalization and Latinas/os, Race, Violence and Film, and Cuba and Tourism. May be repeated up to 6 total credit hours. Recommended prereq., ETHN coursework. Requisites: Restricted to graduate students only.",Requisites: Restricted to graduate students only.,6101,(1-6),ETHN,) Topics: Specialized Comparative Studies
"Introduces the theoretical landscapes of Native American and Indigenous Studies. Explores debates, methodologies and concerns that ground the field and provides critical engagement with Indigenous communities and knowledges. Teaches standards for evaluating scholarly sources based on criteria derived from the most outstanding recent scholarship in the field. Requires writing and thinking critically about issues of concern for global indigenous communities. Requisites: Restricted to graduate students only.",Requisites: Restricted to graduate students only.,6103,(3),ETHN NAIS,) Indigenous Thought and Theory: Foundations in NAIS
"Examines complex histories, cultural practices, and liminal/3rd spaces of the US/Mexico borderlands; racial and gender identities; and community formations. The seminar considers a range of autobiographic testimony narratives, films, social and legal studies, and theories of subjectivity that engage with the politics of representation vis a vis the criminalization of Chicana/o and ethnic youth, immigrants, and those perceived to be immigrants. Requisites: Restricted to graduate students only.",Requisites: Restricted to graduate students only.,6110,(3),ETHN,) Adv. Tpcs. In Chicana/Chicano Studies: US/Mexico Borderlands
,,1100,(1),FARR,) Passport to LIterature in the Humanities
,,1562,(3),FARR,) Gandhi's Satyagraha: Love in Action for Humans and Other Creatures
,,2000,(3),FARR,) Farrand Seminar in the Humanities and the Arts
"Introduces chemical fundamentals of inorganic aqueous compounds and contaminants in lecture and laboratory. Lecture topics include thermodynamics and kinetics of acids and base reactions, carbonate chemistry, air-water exchange, precipitation, dissolution, complexation, oxidation-reduction, and sorption. Same as CVEN 4404. Requisites: Requires prerequisite courses of CHEN 1211, or CHEM 1113 and CHEM 1133, and CVEN 3414 (all minimum grade C-). Restricted to Civil (CVEN) or Environmental (EVEN) Engineering majors only.","Requisites: Requires prerequisite courses of CHEN 1211, or CHEM 1113 and CHEM 1133, and CVEN 3414 (all minimum grade C-). Restricted to Civil (CVEN) or Environmental (EVEN) Engineering majors only.",4404,(3),EVEN,) Water Chemistry
"Reinforces chemical fundamentals of inorganic aqueous compounds and contaminants from EVEN 4404, Water Chemistry, in laboratory experiments and reports. Topics include acids and bases, carbonate chemistry (alkalinity), and other water chemistry characteristics (hardness, dissolved oxygen); precipitation, complexation, and oxidation-reduction reactions; and laboratory techniques and reporting. Same as CVEN 4414. Requisites: Requires prerequisite courses of CHEN 1211 or CHEM 1113 and CHEM 1133 (all minimum grade C-). Requires corequisite course of EVEN 4404. Restricted to Civil (CVEN) or Environmental (EVEN) Engineering majors only.",Requisites: Requires prerequisite courses of CHEN 1211 or CHEM 1113 and CHEM 1133 (all minimum grade C-). Requires corequisite course of EVEN 4404. Restricted to Civil (CVEN) or Environmental (EVEN) Engineering majors only.,4414,(1),EVEN,) Water Chemistry Laboratory
"Examines the fundamental physical and chemical transformations affecting the fate and transport of organic contaminants in natural and treated waters. Emphasizes quantitative approach to solubility, vapor pressure, air-water exchange, sorption, hydrolysis and redox reactions, and photodegradation. Same as CVEN 4424. Requisites: Requires prerequisite course of CHEN 1211or CHEM 1113 or CHEM 1271 (minimum grade C-).",Requisites: Requires prerequisite course of CHEN 1211or CHEM 1113 or CHEM 1271 (minimum grade C-).,4424,(3),EVEN,) Environmental Organic Chemistry
,,2215,(3),ETHN,) The Japanese American Experience
,,2232,(3),ETHN,) Contemporary African American Social Movements
,,2242,(3),ETHN,) African American Social and Political Thought
,,5120,(1-3),ENVS,) Topics in Quantitative Methods
"A survey of the major philosophical issues in environmental studies, comprising key issues in environmental ethics, in environmental political philosophy, and in the philosophy of biology and ecology. Same as PHIL 5240. Requisites: Restricted to Environmental Studies (ENVS) graduate students only.",Requisites: Restricted to Environmental Studies (ENVS) graduate students only.,5240,(3),ENVS,) Environmental Philosophy
"Analyzes the life and thought of Frantz Fanon for its contributions to interdisciplinary and intersectional studies. Emphasis will be placed on the innovative interdisciplinary and intersectional nature of Fanon's psychology, sociology and philosophical anthropology, as well as his participation in African and Caribbean anti-colonial movements.  ETHN 4632 and 5632 are the same course. Requisites: Requires a prerequisite course of ETHN 1022 or ETHN 2001 (minimum grade D-). Restricted to students with 57-180 credits (Junior or Senior) Ethnic Studies (ETHN) majors only.",Requisites: Requires a prerequisite course of ETHN 1022 or ETHN 2001 (minimum grade D-). Restricted to students with 57-180 credits (Junior or Senior) Ethnic Studies (ETHN) majors only.,4632,(3),ETHN,) Frantz Fanon Seminar
"A review of the ideas, events, persons, organizations oriented to the quest for African American social justice in the decade of the sixties. Requisites: Requires a prerequisite course of ETHN 1022 or ETHN 2001 (minimum grade D-). Restricted to students with 57-180 credits (Juniors or Seniors).",Requisites: Requires a prerequisite course of ETHN 1022 or ETHN 2001 (minimum grade D-). Restricted to students with 57-180 credits (Juniors or Seniors).,4672,(3),ETHN,) Seminar on the Civil Rights and Black Power Movements
"Fosters a better understanding and appreciation of the role African Americans have played in the evolution and shaping of urban America. Employs techniques of urban studies to more effectively assess the many dimensions, subtitles, and insensitivities of life in the city. Recommended prereq., ETHN 1022 or ETHN 2001 and a working knowledge of U.S. and Afro-American history. Formerly ETHN 4252. Requisites: Restricted to students with 57-180 credits (Juniors or Seniors).",Requisites: Restricted to students with 57-180 credits (Juniors or Seniors).,3252,(3),ETHN,) African American Urban History
,,3301,(3),ETHN,) Elements of Religion
"Focuses on aspects of the victimization of women and girls that are ""Gendered"" - namely, sexual abuse and intimate partner abuse. Also explores the importance of race, class, and sexuality in gendered violence. Same as SOCY/WMST 3314. Requisites: Restricted to students with 57-180 credits (Juniors or Seniors).",Requisites: Restricted to students with 57-180 credits (Juniors or Seniors).,3314,(3),ETHN,) Violence Against Women and Girls
"Deals with historical events involving conflicts between the U.S. government and American Indians. Examples include the role of the FBI in the Pine Ridge Sioux Reservation (1972-76) or the 1864 massacre of the Cheyenne and Arapaho Indians in Colorado territory. Additional courses may relate to tribal governments. Recommended prereq., ETHN 1023 or ETHN 2001. May be repeated up to 6 total credit hours on different topics. Requisites: Restricted to students with 57-180 credits (Juniors or Seniors).",Requisites: Restricted to students with 57-180 credits (Juniors or Seniors).,3403,(3),ETHN,) Indigenous Rights and Red Power Movement
,,3521,(3),ENVS,) Climate Politics and Policy
"Introduces students to basic image making technology and aesthetics. Fundamentals of film/video production in Super 8mm, Black Magic Pocket Cinema cameras, ProRes 422 (HQ), and other analog and digital image making, editing, and management formats. May emphasize personal, experimental or narrative films and exercises, according to instructor. Basic competencies include composition, basic audio, basic editing, studio critique, file management, etc. Requisites: Requires prerequisite course of FILM 1502 (minimum grade D-).",Requisites: Requires prerequisite course of FILM 1502 (minimum grade D-).,2000,(3),FILM,) Moving Image Foundations I
,,2002,(3),FILM,) Recent International Cinema
,,2003,(3),FILM,) Film Topics
